,comments,label,token
0,(현재 호텔주인 심정) 아18 난 마른하늘에 날벼락맞고 호텔망하게생겼는데 누군 계속 추모받네....,hate,"['현재', '호텔', '주인', '심정', '아', '난', '마른하늘', '날', '벼락', '맞다', '호텔', '망하다', '생기다', '누', '군', '계속', '추모', '받다']"
1,....한국적인 미인의 대표적인 분...너무나 곱고아름다운모습...그모습뒤의 슬픔을 미처 알지못했네요ㅠ,none,"['한국', '적', '인', '미인', '대표', '적', '인', '분', '너무나', '곱', '고', '아름답다', '모습', '그', '모습', '뒤', '슬픔', '을', '밉다', '처', '알', '지', '못', 'ㅠ']"
2,"...못된 넘들...남의 고통을 즐겼던 넘들..이젠 마땅한 처벌을 받아야지..,그래야, 공정한 사회지...심은대로 거두거라...",hate,"['못', '되다', '놈', '남', '고통', '을', '즐기다', '놈', '젠', '마땅하다', '처벌', '을', '받다', '그', '래야', '공정하다', '사회', '지심', '대로', '거두다']"
3,"1,2화 어설펐는데 3,4화 지나서부터는 갈수록 너무 재밌던데",none,"['화', '어서', '펐는데', '화', '지나다', '갈수록', '너무', '재밌다', '데']"
4,1. 사람 얼굴 손톱으로 긁은것은 인격살해이고2. 동영상이 몰카냐? 메걸리안들 생각이 없노,hate,"['사람', '얼굴', '손톱', '긁다', '것', '인격', '살해', '이고', '동영상', '몰카', '냐', '메다', '리안', '들다', '생각', '없다']"
5,10+8 진짜 이승기랑 비교된다,none,"['진짜', '승기', '랑', '비교', '되다']"
6,"100년안에 남녀간 성전쟁 한번 크게 치룬 후 일부다처제, 여성의 정치참여 금지, 여성 투표권 삭제가 세계의 공통문화로 자리잡을듯. 암탉이 너무 울어댐.",hate,"['년', '안', '남녀', '간', '성', '전쟁', '한번', '크게', '치르다', '후', '일부다처제', '여성', '정치', '참여', '금지', '여성', '투표', '권', '삭제', '세계', '공통', '문화', '로', '자리', '잡', '을', '듯', '암탉', '너무', '울다', '댐']"
7,10년뒤 윤서인은 분명히 재평가될것임. 말하나하나가 틀린게없음,none,"['년', '뒤', '윤서인', '분명하다', '재', '평가', '되다', '것임', '말', '하나', '하나', '틀리다', '게', '없다']"
8,10년만에 재미를 느끼는 프로였는데왜 니들때문에 폐지를해야되냐,offensive,"['년', '만에', '재미', '느끼다', '프로', '이다', '왜', '너희', '때문', '폐지', '되다']"
9,10년차방탄팬인데 우리방탄처럼 성공은못하겠지만 일단 방탄의 부하가되고싶다는거니 이름기억은해둠ㅇㅇ,offensive,"['연차', '방탄', '팬', '인데', '우리', '방탄', '처럼', '성공', '못', '일단', '방탄', '부하', '되다', '싶다', '거니', '이름', '기억', '해', '두다']"
10,10살 차이가 넘을텐데 부부라고? 무슨 내용인지 긍금하네..,none,"['살', '차이', '넘다', '텐데', '부부', '라고', '무슨', '내용', '인지', '궁금하다']"
11,12월이나 1월이더 결혼성수기지 5월은 여름이라 비수기에속한다,none,"['월', '이나', '월', '더', '결혼', '성', '수기', '지다', '월', '여름', '이라', '비다', '속']"
12,13살 차이면 요즘 세상에 놀랄일도 아니네요,none,"['살', '차이', '면', '요즘', '세상', '놀라다', '일도', '아니다']"
13,1400억 뜯기고 얼마나 억울 했을꼬 뒤질만큼 아플만 하지~~~~ㅋㅋㅋㅋ,offensive,"['억', '뜯다', '얼마나', '억울하다', '꼬', '뒤지다', '만큼', '아프다', '만하', '지', 'ㅋㅋㅋ']"
14,15년생인 울아들은 유모차 안타는데,none,"['년생', '일', '울', '아들', '유모차', '안타', '데']"
15,15살차이면 어릴때사고쳤으면 딸벌인데 ㅋㅋ 능력좋네 전현무 여자들이 전현무스타일이 좋은가봐,offensive,"['살', '차이', '면', '어리다', '때', '사고', '치다', '딸', '벌', '인데', 'ㅋㅋ', '능력', '좋다', '전현무', '여자', '전현', '무', '스타일', '좋다', '보다']"
16,166에 57.4 다이어트 필요없지만건강위해더뺄거야다들 더마르게봄,none,"['다이어트', '필요', '없다', '건강', '위해', '더', '빼다', '거야', '다', '들다', '더', '마르', '게', '봄']"
17,17년도 아니고 27년이면 진짜 너무했다 이것이 사랑만으로 가능할수 있는지 도저히 납득이 가질 않는다,none,"['연도', '아니다', '년', '면', '진짜', '너무', '것', '사랑', '만으로', '가능하다', '수', '있다', '도저히', '납득', '가지다', '않다']"
18,180넘어갈정도의 기럭지는 아님78에서79180넘는애들은 의심.의구심을 안하고안듬그래도 비율좋아 커보이긴함,none,"['넘어가다', '정도', '길이', '아니다', '넘다', '애', '심의', '구심', '을', '안', '안', '들다', '그래도', '비율', '좋다', '크다', '보이다', '함']"
19,180이하 호빗 한남들은 결혼 하지마셈 ㅋ 돈없으면 연애도 하지마셈 ㅋ 니들 호빗 유전자 받아서 고통받을 네 후손은 뭔죄임?,hate,"['이하', '호빗', '한남', '결혼', '말다', 'ㅋ', '돈', '없다', '연애', '말다', 'ㅋ', '너희', '호빗', '유전자', '받다', '고통', '받다', '네', '후손', '뭔', '죄임']"
20,18키로감량을해야박수쳐주지 그냥 먹고싶은거다먹고디비져자고하면 18키로는그냥쪄,hate,"['키로', '감량', '을', '손뼉', '치다', '주지', '그냥', '먹다', '싶다', '거', '다', '먹다', '디비', '지다', '자고', '키', '로는', '그냥', '찌다']"
21,1959년 자유당 시절에 하버드 로스쿨에 입학하셨다가 할리우드로 진출하셨어요? 대단하신 분이셨군요.,none,"['년', '자유당', '시절', '하버드', '로스쿨', '입학', '할리우드', '로', '진출', '대단하다', '불다']"
22,19에서15로 바뀌고 망트리 탄거...,none,"['에어로', '바뀌다', '망', '트리', '타다', '거']"
23,1년연예 ㅋㅋ 2년봅니다....,offensive,"['년', '연예', 'ㅋㅋ', '년', '보다']"
24,1년전인가 둘이 연남동 술집에서 술마시는거 봤는데 이제야 기사뜨는구나,none,"['년', '전인', '둘', '연남동', '술집', '에서', '술', '마시다', '거', '보다', '이제야', '기사', '뜨다']"
25,1박2일 재미없고 이제 부도덕한것만 생각나요. 폐지하세요 학부모입장에서폐지비랍니다,none,"['박', '일', '재미없다', '이제', '부도덕하다', '것', '만', '생각나다', '폐지', '학부모', '입장', '에서', '폐지', '비다']"
26,1보다 재미없어요 진짜 보다 나올뻔,offensive,"['보다', '재미없다', '진짜', '보다', '나오다', '뻔']"
27,1부는 눈 썩는 거 같아서 2부만 봤다 졸라 웃기더만 ㅋㅋ,none,"['불다', '눈', '썩다', '거', '같다', '부', '만', '보다', '졸라', '웃기', '만', 'ㅋㅋ']"
28,1억도 안아깝다 ☝️☝️☝️☝️☝️☝️☝️,none,"['억', '안', '아깝다']"
29,"1일1식보단 아침,점심만 먹고 저녁은 꾸준히 공복유지 하는게 건강에 더 좋은듯",none,"['일식', '보단', '아침', '점심', '만', '먹다', '저녁', '꾸준하다', '공복', '유지', '게', '건강', '더', '좋다', '듯']"
30,1일1식은 난 못하겠네 흐흐 한상진씨 연기잘함,none,"['일식', '난', '못', '흐흐', '한상진', '씨', '연기']"
31,1회에 교도소에서 마취도 없이 자기몸 꿰매는거랑뜨거운 커피말고 차가운거만먹는거보고아랏는데 난 무통증 무감각이라고,none,"['회', '교도소', '에서', '마취', '없이', '자기', '몸', '꿰매다', '거', '랑', '뜨겁다', '커피', '말고', '차갑다', '거만', '먹다', '거', '보고', '아랏는데', '난', '무', '통증', '무감각', '이라고']"
32,2%로도 안되는 시청율 ㅎㅎ 연기도 못하더만 이거 때문에 북을 못가? ㅎㅎ,none,"['로', '안', '되다', '시청률', 'ㅎㅎ', '연기', '못', '거', '때문', '북', '을', '못', '가다', 'ㅎㅎ']"
