,label,token
0,hate,"['현재', '호텔', '주인', '심정', '아', '난', '마른', '하늘', '날벼락', '맞', '호텔', '망하', '생겼', '는데', '누군', '계속', '추모', '받']"
1,none,"['한국', '적', '미인', '대표', '적', '분', '너무나', '곱', '아름다운', '모습', '그', '모습', '뒤', '슬픔', '미처', '알', '못했', '네요', 'ㅠ']"
2,hate,"['못', '된', '넘', '남', '고통', '즐겼', '던', '넘', '이젠', '마땅', '처벌', '받', '아야지', '그래야', '공정', '사회', '지심', '대', '로', '거두', '거라']"
3,none,"['화', '어설펐', '는데', '화', '지나', '서', '부터', '갈수록', '너무', '재밌', '던데']"
4,hate,"['사람', '얼굴', '손톱', '긁', '것', '인격', '살해', '동영상', '몰카', '냐', '메', '걸리', '안들', '생각', '없', '노']"
5,none,"['진짜', '이승기', '랑', '비교', '된다']"
6,hate,"['년', '안', '남녀', '간', '성', '전쟁', '번', '크', '치룬', '후', '일부다처제', '여성', '정치', '참여', '금지', '여성', '투표', '권', '삭제', '세계', '공통', '문화', '로', '자리', '잡', '암탉', '너무', '울', '어', '댐']"
7,none,"['년', '뒤', '윤서인', '분명히', '재', '평가', '될', '것', '말', '하나하나', '틀린', '없']"
8,offensive,"['년', '재미', '느끼', '프로', '였', '는데', '왜', '니', '때문', '폐지', '해야', '냐']"
9,offensive,"['년차', '방탄', '팬', '인데', '우리', '방탄', '처럼', '성공', '못', '겠', '지만', '일단', '방탄', '부하', '싶', '다는', '거', '니', '름기억은해둠ㅇㅇ']"
10,none,"['살', '차이', '넘', '텐데', '부부', '라고', '무슨', '내용', '인지', '긍금하네']"
11,none,"['월', '이나', '월', '더', '결혼', '성수기', '월', '여름', '라', '비수기', '속한다']"
12,none,"['살', '차이', '요즘', '세상', '놀랄', '일', '아니', '네요']"
13,offensive,"['억', '뜯기', '얼마나', '억울', '했', '을꼬', '뒤질', '만큼', '아플', 'ㅋㅋ']"
14,none,"['년', '생', '울', '아들', '유모차', '안', '타', '는데']"
15,offensive,"['살차', '이면', '어릴', '때', '사고', '쳤으면', '딸', '벌', '인데', 'ㅋㅋ', '능력', '좋', '전현무', '여자', '전현무', '스타일', '좋', '은가', '봐']"
16,none,"['다이어트', '필요', '없', '지만', '건강', '위해', '더', '뺄', '거', '야', '더', '마르', '봄']"
17,none,"['년', '아니', '년', '진짜', '너무', '했', '이것', '사랑', '가능', '할', '수', '있', '는지', '도저히', '납득', '가질', '않', '는다']"
18,none,"['넘어갈', '정도', '기럭지', '아님', '에서', '넘', '애', '의심', '구심', '안', '안', '듬', '그래도', '비율', '좋', '아', '커', '보이', '긴', '함']"
19,hate,"['이하', '호빗', '남', '결혼', '마', '셈', 'ㅋ', '돈', '없', '으면', '연애', '마', '셈', 'ㅋ', '니', '호빗', '유전자', '받', '아서', '고통', '받', '후손', '뭔', '죄']"
20,hate,"['키', '로', '감량', '해야', '박수', '쳐', '주', '그냥', '먹', '싶', '거', '먹', '디비져', '키', '로', '그냥', '쪄']"
21,none,"['년', '자유당', '시절', '하버드', '로스쿨', '입학', '셨', '다가', '할리우드', '로', '진출', '셨', '어요', '대단', '신', '분', '셨', '군요']"
22,none,"['서로', '바뀌', '망', '트리', '탄', '거']"
23,offensive,"['년', '연예', 'ㅋㅋ', '년', '봅니다']"
24,none,"['년', '전', '인가', '둘', '연남동', '술집', '에서', '술', '마시', '거', '봤', '는데', '이제야', '기사', '뜨', '는구나']"
25,none,"['박일', '재미없', '이제', '부도덕', '것', '생각나', '요', '폐지', '세요', '학부모', '입장', '에서', '폐지', '비', '랍니다']"
26,offensive,"['보다', '재미없', '어요', '진짜', '보다', '나올', '뻔']"
27,none,"['부', '눈', '썩', '거', '같', '아서', '부', '봤', '졸라', '웃기', '더만', 'ㅋㅋ']"
28,none,"['억', '안', '아깝']"
29,none,"['일식', '보단', '아침', '점심', '먹', '저녁', '꾸준히', '공복', '유지', '건강', '더', '좋']"
30,none,"['일식', '난', '못', '겠', '흐흐', '한상진', '씨', '연기', '함']"
31,none,"['회', '교도소', '에서', '마취', '없이', '자기', '몸', '꿰매', '거', '랑', '뜨거운', '커피', '말', '차가운', '거', '먹', '거', '보고', '아랏', '데', '난', '무', '통증', '무감각', '라고']"
32,none,"['로', '안', '시청', '율', 'ㅎㅎ', '연기', '못하', '더만', '이거', '때문', '북', '못', 'ㅎㅎ']"
33,hate,"['대', '골', '빈', '여자', '기사', '모이', '건가', 'ㅋㅋ', '이래서', '여자', '투표', '권', '주', '안', '된다', '엠', '넷', '사전', '투표', '나', '살', '아야지', '계집']"
34,none,"['년', '여름', '봤', '는데', '서지영', '이랑', '스포츠카', '타', '온', '거년', '전', 'ㅎㅎ']"
35,hate,"['년', '포도밭', '그', '사나이', '에서', '흰', '가운', '입', '연구원', '정소영', '봐라', '솔', '까', '대한민국', '여배우', '중', '최고', '로', '이쁘', '단아', '했', '급', '식충', '멋', '모르', '윤아', '아이유', '떠들', '겠', '지만']"
36,offensive,"['억대', '쳐바르', '홍보', '그렇게', '나', '했', '는데', '시청', '률', '자랑', '라고', '올렸', '냐', '그리고', '남녀', '주인공', '비주얼', '너무', '심각', '남녀', '주연', '사극', '말투', '더빙', '것', '마냥', '성우', '스러워서', '시청', '률', '그', '모양', '그', '꼴', '잖아']"
37,offensive,"['년', '카톡', '안', '지우', '지끔', '까지', '갖', '있', '었', '다는', '놀랍', '수집', '니', '땜', '장', '씨', '날벼락']"
38,none,"['년', '사진', '래요', 'ㅋ']"
39,none,"['년', '마마', '진정', '승자', '화사']"
40,none,"['년', '올', '거', '같', '냐', '영배', '야', 'ㅋㅋ']"
41,none,"['달러', '중', '겨우', '계약금', '수준', '지불', '안', '했', '다면', '뭔', '사정', '있', '거', '같', '아', '중립', '기어', '박', '아요']"
42,none,"['년', '연애', '너무', '멋져요', '이제', '결혼', '셔서', '행복', '가정', '이루', '시', '길']"
43,offensive,"['년', '넘', '었', '부모', '속', '타', '억울', '겠', '지만', '이젠', '묻', '어', '둬야', '그렇', '다면', '억울', '죽', '사람', '얼마나', '많', '을까', '년', '지난', '화성', '사건', '피해', '가족', '그', '땐', '가해자', '었', '지만', '시간', '지난', '오늘', '피해자', '될', '수', '있']"
44,none,"['년', '째', '열', '애', '중', '너무', '길']"
45,hate,"['대', '대', '남자', '비율', '보소', 'ㅋㅋ', '할', '짓', '드럽', '없', '나', '봐', '죽', '자고', '덤벼드', '거', '봐', 'ㅠㅠ']"
46,offensive,"['대', '연애', '많이', '해봐라']"
47,offensive,"['살차', 'ㅉㅉ']"
48,none,"['주술', '사랑']"
49,offensive,"['살', '인데', '술', '먹', '어', '발랑', '까', '졋네', '고딩', '때', '먹', '엇']"
50,offensive,"['년', '전', '한참', '팔', '팔', '할', '때', '오달수', '아마', '십', '대', '초반', '서로', '어렸', '때', '반', '콩', '깠', '던', '거', '같', '은데', '저렇게', '따지', '세상', '성범죄자', '아닌', '인간', '있', '을까', '무섭']"
51,none,"['년', '전', '오달수', '혈기', '왕', '성', '할', '때', '인데', '그럴', '수', '있', '그리고', '이제', '와서', '년', '일', '말', '사람', '참', '이해', '못', '겠', '혓재에', '충실', '살', '참']"
52,none,"['년', '최수종', '님', '처럼', '한결', '같', '기', '힘들', '겠', '지만', '서로', '양보', '배려', '며', '비슷', '살', '아도', '싸울', '일', '반', '줄이', '아내', '행복', '만들', '어', '줌']"
53,none,"['억', '아니']"
54,hate,"['살', '까지', '온갖', '수단', '동원', '해서', '입대', '연기', '며', '발악', '다가', '어쩔', '수', '없이', '끌려가', '머', '대단', '다고', '오바', '질', '야', 'ㅋㅋ']"
55,hate,"['대녀', '쿵쾅쿵쾅', '꿀꿀', '꿀']"
56,offensive,"['년', '사귀', '었', '으면', '서로', '온몸', '점', '위치', '까지', '알', 'ㅋㅋㅋ']"
57,offensive,"['년', '안', 'ㅇㅈㅎ', '양아치', '에게', '통수', '맞', '으니', '분하', '겠', '죠', '그', '동안', '에서', '충분히', '느낄', '수', '있', '었', '새로운', '삶', '사세요']"
58,hate,"['박일', '뭐', '니', '기', '레', '기', '야']"
59,offensive,"['차', '로', '남자', '집', '왜', '무조건', '남자', '탓', '할', '일', '아니', '명백히', '가려', '길']"
60,offensive,"['천만', '원', '짜리', '조', '리원', '며', '고기', '집', '외식', '며', '참', '가지가', '한다', 'ㅋㅋ', '관심', '병', '더', '아프', '신', '거', '아닌감', '아무튼', '건강', '다니', '다행', 'ㅋㅋㅋ']"
61,offensive,"['넘', '어서', '공익', '꼴', '이란', 'ㅋㅋ', '진짜', '모', '냥', '빠진다', 'ㅋㅋㅋ']"
