comments,label
이런글 진짜 안궁금합니다,0
이미 대놓고 수많은 사람들과 몸섞은 힐튼이 결혼후라고 달라지지는 않을텐데~남자는 돈 노리나~~,1
어우 남자가 맹인인갑다,1
낸시랭 생각나내,0
결혼해야지... 또래들은 벌써 애키우고 있는데,0
오랜만에 힐튼비디오나 봐야겠다 ㅋㅋ,0
정말 밤일 하나는 잘하던데.,0
나 같아도 힐튼이랑 결혼한다 야 솔까 왠만한 김치녀보다 만배는 낫지 않냐?????,1
그래 저런짓은 하면 안되지 청혼할 때 남자가 왜 여자에게 무릎꿇냐 이건 남녀평등에 위배된다 안그래 패리스 힐튼보다 가성비 마니 떨어지는 한녀들아 ?????,2
창녀들은 꼭 남편될 사람에게 자신이 과거를 밝힌다 결혼해서 성깔나와서 이혼당하지 말고,1
힐튼이 입은 스키복 진짜 너무너무 예쁨,0
2년 내에 이혼한다에 내 꼬추 건다,1
힐튼이야 외모도 그럭저럭 되고 돈이나 많지 쿵쾅이들은 대체 사는 이유 무엇?,2
곧 또 이혼하겠지,1
걸레도 이런 걸레가 없다,1
서양남자들이 반지주면서 무릎꿇는거 원조임. 프러포즈 단어도 한국에없던단어지요. 다 양남따라해서 이정도된것임. 갓양남들이 역시 더치한단소리는 외국루저들의 주장일뿐이었다.,1
부모 잘 만난 덕에 상또라이짓해도 모든게 용서되는 년.....종교의 모순점을 극명하게 드러내준 개인...,2
쟤 보나마나 한달인가 두달 쯤 있다가 파혼한다.,1
네이버 댓글은 메갈이 점령해버렸네,1
저 듣보 배우 인생 폈네.. 좀만 살다 이혼해도 위자료가 얼마야ㅋ,1
힐튼이 더 좋아하네ᆢ 그리 미남두 아닌데ᆢ,0
"4살 차이가 궁합도 좋고 다 무난한듯요, 살아보니.",0
2년가면 많이 간다.,1
어차피 몇일 안가서 결별하겄지..한두번이냐,1
몇일 가려나? 혼인관계가?,1
3년안에 이혼뜬다 올린,0
몇년 갈까? 진심 궁금함,0
짧게 살다가 남남되겠지,0
패리스 힐튼 진짜 안 늙네;;;,0
언니 결혼하시는 거에요?? 축하해요!!!,0
다이아수저 물고 태어나면 어떤 기분일까,1
그나저나 한결같은 힐튼패션...,0
키185에 잘생긴 훈남이 최고지. 지나가다 그냥 윙크만해도 여자들 알아서 다넘어감,0
과연 몇 번을 헤어지고몇 번을 만날 지가 더 궁금하네~,1
"스키복 예쁘네요, 축하해요",0
남자가 봉 잡았네 여자나 남자나 늙으면 지는 거ㆍ힐튼인들 별수 있니 돈이나 열심히 대줘라 이혼은 저 남자가 신청할 듯,2
배우처럼 잘하더만 ㅋ 스킬쩔던데 키키,2
나도 남자지만 남자들 댓글은 일차원적이고 참 더러워 머리에 든게 섹스밖에 없냐 개한심하다,2
돈많으니 어린남자랑결혼하네 저게 진짜 미스골드녀지 ㄹㅇ 나이들고 결혼못하는건 그냥 노처녀,2
이혼소식 기다립니다.. 몇달 후일까요? 몇년 후 일까요?,1
"패리스힐튼=김준희, 돈많고 와꾸도 되고 몸매도 착해 어린애들 데리고 놀 능력은 되나 결국은 깨짐!",
그리고 3일뒤이혼,1
다음달은 이혼 발표인가..,1
미래에서 왔습니다...1년 못살고 진흙탕 싸움...,1
패리스힐튼 문제로 이혼하면 저 남자는 위자료 챙기고 개꿀이지.,1
남자가 사람잘패게 생겼던데?,2
곧 이혼도 하겠지.,1
댓글이 남자가 더 많다는건 (그것도 30대 남성 ㅋㅋ)= 능력 없어서 장가 못가고 있는 한남들 ㅠ 불쌍 한심 애처로움,1
남자들도 돈많으면 쿵쾅이들 쳐다도안봐^^아 맞다 돈없어도 안본다 ^^,2
개노잼,1
맛도 없어보이는 김밥 라면이 만원ㅋㅋ야 거기에 삼겹살이라도 들어갔냐?돈까스는 2만원ㅋㅋ빕스도 그것보단 싸겠다ㅋ서민들 기죽이는 프로그램일세ㅡ.ㅡ당장 폐지해라,2
근데 솔직히 재밋진 않앗다 볼만 햇지만...,0
대체 언제적 강호동이야 강호동 이수근은 1박2일 이후로 퇴물 된지가 언젠데,1
아무리 그래도 이수근이 나오는건 무조건 안 봐.. 강호동도 똑같은 놈이고...,2
어떻게 내가 싫어하는 사람들을 이렇게 조합해놓지 ㅠㅠ,1
